tool,principle,documentation,codebase,domain,modality,provider,code_snippet_path,ai_operation,question
ydata_profiling,baseline,https://docs.profiling.ydata.ai/latest/getting-started/concepts/,https://github.com/ydataai/ydata-profiling,all,"tabular, timeseries, text",ydata,code_snippets/ydata_profiling.py:data_profiling_eda,data_profiling,"['How many instances are there in total?', 'What is the distribution of the target variable?']"
ydata_synthetic,robustness,https://docs.sdk.ydata.ai/latest/synthetic_data/,https://github.com/ydataai/ydata-synthetic,all,"tabular, timeseries, text",ydata,code_snippets/ydata_synthetic.py:generate_synthetic_data,data_preprocessing,"['Can I generate a specific number of synthetic data?', 'What is the distribution of the target variable?']"
mostlyai,robustness,https://mostly-ai.github.io/mostlyai/usage/,https://github.com/mostly-ai/mostlyai,"classification, regression","tabular, timeseries",mostlyAI,code_snippets/mostlyai.py:generate_synthetic_data,data_preprocessing,"['How many instances are there in total?', 'What is the distribution of the target variable?']"
fairlearn,fairness,https://fairlearn.org/main/quickstart.html,,tabular,tabular,microsoft,,,"['', '']"
holisticai,"fairness, robustness, explainability, privacy",https://holisticai.readthedocs.io/en/latest/getting_started/quickstart.html,https://github.com/holistic-ai/holisticai,"classification, regression",tabular,holisticai,,,[]
variationist,fairness,https://variationist.readthedocs.io/en/latest/intro.html,https://github.com/dhfbk/variationist,"chatbot, text generation, text classification, text summarization",text,dhfbk,code_snippets/variationist.py:run_inspector,data_profiling,"['How can I analyze and explore language variation and bias in written language data?', 'Which are the mos frequent and common terms in our dataset?']"
witwidget,"explainability, fairness",https://pair-code.github.io/what-if-tool/,,,tabular,Google,,,"['', '']"
giskard,all,https://docs.giskard.ai/en/latest/getting_started/quickstart/index.html,,,"tabular, text, vision",giscard,,,"['', '']"
aif360,fairness,https://github.com/Trusted-AI/AIF360/tree/main,,,tabular,IBM,,,"['', '']"
interpret,explainability,https://interpret.ml/docs/,,,"text, image, audio, video, tabular",microsoft,,,"['', '']"
aix360,explainability,https://github.com/Trusted-AI/AIX360,,,"text, image, audio, video, tabular",IBM,,,"['', '']"
lime,explainability,https://github.com/marcotcr/lime,,,"text, image, audio, video, tabular",lime,,,"['', '']"
adversarial-robustness-toolbox,robustness,https://github.com/Trusted-AI/adversarial-robustness-toolbox?tab=readme-ov-file,,,"text, image, audio, video, tabular",IBM,,,"['', '']"
aequitas,fairness,https://github.com/dssg/aequitas,,,"text, image, audio, video, tabular",aequitas,,,"['', '']"
evidently,"baseline, robustness",https://github.com/evidentlyai/evidently,,,"tabular, text, embeddings",evidently.ai,code_snippets/evidently.py:data_profiling_detect_data_drift,data_validation,"['Can you create a report about the level of data drift for the given reference and target data?How many features of each type do we have?', 'How many features are (mostly) missing or constant?', 'How are the features distributed?', 'Which features are strongly correlated?', 'Are two datasets similar?', 'If something has changed, what exactly?']"
alibi-detect,robustness,https://github.com/SeldonIO/alibi-detect,,,"text, image, audio, video, tabular, time series",SeldonIO,,,"['How different two datasets are?', '']"
nemo-evaluator,baseline,https://docs.nvidia.com/nemo/evaluator/latest/about/index.html,https://github.com/NVIDIA-NeMo/Evaluator.git,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,nvidia,,,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
trulens,baseline,https://www.trulens.org/getting_started/,https://github.com/truera/trulens/,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,SeldonIO,,,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
ragas,baseline,https://www.trulens.org/getting_started/,https://github.com/truera/trulens/,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,SeldonIO,,,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
nefertem,baseline,https://github.com/scc-digitalhub/nefertem,https://github.com/scc-digitalhub/nefertem,"classification, regression",tabular,scc-digitalhub,,,"['How many instances are there in total?', 'What is the distribution of the target variable?']"
